@relation project

@attribute project {true, false}
@attribute conditionID real
@attribute messageID real
@attribute subjectID real
@attribute partnerNumber real
@attribute Lexical_Diversity real
@attribute Emotiveness real
@attribute Pausality real
@attribute Word_Quantity real
@attribute Verb_Quantity real
@attribute Modifier_Quantity real
@attribute Sentence_Quantity real
@attribute passive_verb_ratio real
@attribute modal_verb_ratio real
@attribute Affect_Ratio real
@attribute Sensory_Ratio real
@attribute Temporal_Immediate_Ratio real
@attribute Temporal_NonImmediate_Ratio real
@attribute Spatial_Far_Ratio real
@attribute Spatial_Close_Ratio real
@attribute Average_Sentence_Length real
@attribute Average_Word_Length real
@attribute Content_Word_Diversity real
@attribute Redundancy real
@attribute Misspelled_Words real
@attribute You_References real
@attribute Self_References real
@attribute Group_References real
@attribute Other_References real
@attribute Pleasantness real
@attribute Activation real
@attribute Imagery real
@attribute Pos_Pleasantness_1dev real
@attribute Pos_Activation_1dev real
@attribute Pos_Imagery_1dev real
@attribute Pos_Pleasantness_2dev real
@attribute Pos_Activation_2dev real
@attribute Pos_Imagery_2dev real
@attribute Neg_Pleasantness_1dev real
@attribute Neg_Activation_1dev real
@attribute Neg_Imagery_1dev real
@attribute Neg_Pleasantness_2dev real
@attribute Neg_Activation_2dev real
@attribute Neg_Imagery_2dev real

@data
true,0.0,0.0,0.0,0.0,0.5,0.0,1.0,4,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6389,1.7231999999999998,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.4230769230769231,0.15384615384615385,2.5,52,11,4,4,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,13.0,3.3076923076923075,0.8666666666666667,5.5,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,1.928554545454545,1.7401227272727275,1.636363636363637,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,1.3333333333333333,4,0,0,3,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2,0,0,2,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,1.0,6,0,0,2,NaN,NaN,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,2.3333333333333335,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.2631,1.7111,1.1333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2,0,0,1,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.42857142857142855,0.125,2.3333333333333335,28,6,2,6,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,4.666666666666667,4.714285714285714,0.7777777777777778,1.6666666666666667,0.38461538461538464,0.14285714285714285,0.0,0.0,0.0,2.1540250000000003,1.8470749999999998,1.2500000000000002,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,0,0,1,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,2.8333,3.0,2.2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2,0,0,2,NaN,NaN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,4.0,4,2,0,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.1429,1.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,8,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.75,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.6667,1.6667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,1.0,6,2,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,3.0,4.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
